category,name,price,image_url
М'ясо,Теляча грудинка на кістці охолоджена,23.42 грн/100г,https://images.silpo.ua/products/300x300/webp/dceb922d-9034-46c2-9828-977eddbf1754.png
М'ясо,Біфштекс в беконі яловичина та свинина зі спеціями,23.40 грн/100г,https://images.silpo.ua/products/300x300/webp/4e851a96-06e8-4a64-bbb1-0d0dd0b10445.png
М'ясо,Телячий биток з ребром,38.24 грн/100г,https://images.silpo.ua/products/300x300/webp/e15758fb-83ef-44ad-92a6-3e04c12f92e4.png
М'ясо,"Кролик, передні лапки свіжоморожені в/у",33.90 грн/100г,https://images.silpo.ua/products/300x300/webp/f7354ede-929d-4787-8364-2882832e6952.png
М'ясо,"Індичий стейк, філе міньйон",34.79 грн/100г,https://images.silpo.ua/products/300x300/webp/7e14a5b2-785d-4c25-93e4-c71c4cc3b312.png
М'ясо,Люля-кебаб з баранини,30.00 грн/100г,https://images.silpo.ua/products/300x300/webp/ef3609f6-4951-41fc-81f9-3c8ed811d98f.png
М'ясо,Телячий Бефстроганов,41.24 грн/100г,https://images.silpo.ua/products/300x300/webp/c84aab07-25eb-4385-9f5d-c387a681cd48.png
М'ясо,Курка домашня охолоджена,12.70 грн/100г,https://images.silpo.ua/products/300x300/webp/11475e4f-780c-4ff7-94f3-7a5c4a02a08f.png
М'ясо,Куряче філе в маринаді,21.40 грн/100г,https://images.silpo.ua/products/300x300/webp/2ce50c40-41c1-492a-8b27-9ec4966c5838.png
М'ясо,Курячі крила в маринаді,13.90 грн/100г,https://images.silpo.ua/products/300x300/webp/2d23b0cb-b21d-40d9-97f5-78deb663d2c9.png
М'ясо,Свинячий стейк із битка без кістки в маринаді,27.39 грн/100г,https://images.silpo.ua/products/300x300/webp/e3ac904a-7f2b-42b4-b460-3e3b92f642d3.png
М'ясо,Свинячий шніцель охолоджений,22.19 грн/100г,https://images.silpo.ua/products/300x300/webp/53020b41-1fa9-49c2-910a-9808c03592f8.png
М'ясо,Серце яловиче,12.30 грн/100г,https://images.silpo.ua/products/300x300/webp/33a26b4b-0d60-4aed-99d1-4e9e2a8b0d1e.png
